Category,Metric,Formula,Daily_Target,Weekly_Target,Monthly_Target,Red_Flag,Benchmark,Check_Frequency,Notes
LEAD_QUALITY,Avg Lead Score,Sum of signal points ÷ Total leads,—,—,≥70/100,<40,—,Monthly,See scoring framework
LEAD_QUALITY,Valid Phone Rate,Valid WA numbers ÷ Total leads × 100,—,—,≥95%,<80%,—,Daily,—
LEAD_QUALITY,Country Match Rate,Target country leads ÷ Total × 100,—,—,≥80%,<60%,—,Weekly,—
LEAD_QUALITY,Hot Leads %,Tier 1 leads ÷ Total leads × 100,—,—,≥15%,<5%,—,Weekly,Score ≥75
WHATSAPP,WA First Response Time,Avg minutes to first WA reply,≤15 min,—,—,>60 min,<15 min,Daily,Automate with ManyChat
WHATSAPP,WA Open Rate,Messages read ÷ Sent × 100,—,≥85%,—,<60%,80-95%,Daily,—
WHATSAPP,WA Response Rate,Replied ÷ Messaged × 100,—,≥65%,—,<40%,60-75%,Weekly,—
WHATSAPP,Consultation Booked Rate,Booked ÷ Leads × 100,—,—,≥25%,<10%,20-35%,Weekly,—
WHATSAPP,Consultation Show Rate,Attended ÷ Booked × 100,—,—,≥70%,<40%,65-80%,Weekly,Send reminders
WHATSAPP,WA to Enrolled Rate,Enrolled ÷ WA Leads × 100,—,—,≥5%,<2%,4-8%,Monthly,—
WHATSAPP,Follow-up Completion,All touches done ÷ Total leads × 100,—,≥90%,—,<70%,—,Weekly,7-touch sequence
RETARGETING,Retargeting Audience Size,LP visitors + Video viewers last 30d,—,≥5000,—,<1000,—,Weekly,Min size for effective retarget
RETARGETING,Retargeting CPL,Retarget Spend ÷ Retarget Leads,—,≤€7,—,>€15,€5-10,Weekly,Should be cheapest CPL
RETARGETING,Retargeting Conv Rate,Retarget Leads ÷ Retarget Clicks × 100,—,≥6%,—,<2%,5-10%,Weekly,—
RETARGETING,Retargeting Budget %,Retarget Spend ÷ Total Spend × 100,—,—,10-20%,>30%,—,Monthly,—
CAC,CAC Overall,Total Spend ÷ Enrolled Students,—,—,≤€400,>€700,€200-500,Monthly,—
CAC,CAC Meta,Meta Spend ÷ Meta-sourced Enrolled,—,—,≤€450,>€800,—,Monthly,—
CAC,CAC TikTok,TikTok Spend ÷ TT-sourced Enrolled,—,—,≤€550,>€900,—,Monthly,—
CAC,CAC Organic,Tool Cost ÷ Organic Enrolled,—,—,≤€100,>€200,—,Monthly,—
CPL,CPL Meta Ads,Meta Spend ÷ Meta Leads,≤€12,—,—,>€20,€8-15,Daily,—
CPL,CPL TikTok Ads,TikTok Spend ÷ TikTok Leads,≤€18,—,—,>€25,€12-22,Daily,—
CPL,CPL Organic SEO,SEO Tool Cost ÷ Organic Leads,—,—,≤€10,>€20,€1-8,Monthly,—
CPL,Blended CPL All Channels,Total Spend ÷ Total Leads,≤€15,—,—,>€25,€8-18,Daily,—
ROAS,ROAS Overall,Revenue ÷ Total Ad Spend,—,—,≥3.0x,<1.5x,2-5x,Weekly,—
ROAS,ROAS Meta,Revenue (Meta leads) ÷ Meta Spend,—,—,≥3.0x,<2.0x,—,Weekly,—
ROAS,ROAS TikTok,Revenue (TT leads) ÷ TT Spend,—,—,≥2.5x,<1.5x,—,Weekly,—
ROAS,LTV to CAC Ratio,LTV ÷ CAC,—,—,≥10x,<5x,8-15x,Monthly,LTV = avg programme value
COUNTRY,Ghana Leads %,Ghana Leads ÷ Total Leads × 100,—,—,~40%,0%,—,Weekly,Primary target market
COUNTRY,Nigeria Leads %,Nigeria Leads ÷ Total Leads × 100,—,—,~25%,0%,—,Weekly,—
COUNTRY,Morocco Leads %,Morocco Leads ÷ Total Leads × 100,—,—,~15%,0%,—,Weekly,—
COUNTRY,Uganda Leads %,Uganda Leads ÷ Total Leads × 100,—,—,~10%,0%,—,Weekly,—
COUNTRY,Kenya Leads %,Kenya Leads ÷ Total Leads × 100,—,—,~8%,0%,—,Weekly,—
COUNTRY,Ghana CPL,Ghana Spend ÷ Ghana Leads,—,—,≤€12,>€20,—,Weekly,—
COUNTRY,Nigeria CPL,Nigeria Spend ÷ Nigeria Leads,—,—,≤€13,>€20,—,Weekly,—
COUNTRY,CAC per Country,Country Spend ÷ Country Enrolled,—,—,≤€400,>€700,—,Monthly,—
CREATIVE,Creative Hook Rate,3s Views ÷ Impressions × 100,—,≥30%,—,<20%,30-50%,Weekly,—
CREATIVE,Creative CTR,Link Clicks ÷ Impressions × 100,—,≥1.5%,—,<0.8%,—,Weekly,—
CREATIVE,Creative CPL,Creative Spend ÷ Creative Leads,—,≤€13,—,>€20,—,Weekly,Pause if 2x best CPL
CREATIVE,Creative Lifespan,Days running before CTR drops 30%,—,—,21-35 days,<7 days,—,Weekly,Refresh proactively
CREATIVE,Winner Budget %,Top 3 creatives ÷ Total spend × 100,—,—,60-80%,>95%,—,Monthly,Diversify risk
WEBSITE,Landing Page Conv Rate,Registrations ÷ LP Visitors × 100,≥4%,—,—,<2%,3-6%,Daily,—
WEBSITE,Page Load Speed,Time to Interactive seconds,—,—,<3s,>5s,<3s,Monthly,—
WEBSITE,Bounce Rate,Single-page visits ÷ Total × 100,—,—,≤55%,>75%,40-60%,Monthly,—
WEBSITE,Form Abandonment Rate,Abandoned ÷ Started × 100,—,≤60%,—,>80%,—,Weekly,Use Hotjar
WEBSITE,Mobile Conv Rate,Mobile Reg ÷ Mobile Visitors × 100,—,—,≥3.5%,<2%,—,Monthly,70%+ traffic is mobile
